URL,PageTitle,PageURL,PageLoadTime(ms),PageLinkFetchTime(ms),URLValidationStatus,ResponseCode,ResponseTime(ms)
https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://policies.google.com/privacy?gl%3DIN%26hl%3Den&followup=https://policies.google.com/privacy?gl%3DIN%26hl%3Den&hl=en&ec=GAZAoQQ,Privacy Policy – Privacy & Terms – Google,https://accounts.google.com/TOS?loc=IN&hl=en&privacy=true,2973,611,Checked: Based on URL Level Check 2,200,496
https://support.google.com/android/answer/9021432?hl=en,Privacy Policy – Privacy & Terms – Google,https://accounts.google.com/TOS?loc=IN&hl=en&privacy=true,2973,611,Checked: Based on URL Level Check 2,200,284
https://support.google.com/accounts/answer/6078260?hl=en,Privacy Policy – Privacy & Terms – Google,https://accounts.google.com/TOS?loc=IN&hl=en&privacy=true,2973,611,Checked: Based on URL Level Check 2,200,263
https://support.google.com/websearch/answer/54068?hl=en#zippy=%2Cinfo-about-your-browsing-and-other-activity-on-sites-apps-and-devices-that-use-google-services,Privacy Policy – Privacy & Terms – Google,https://accounts.google.com/TOS?loc=IN&hl=en&privacy=true,2973,611,Checked: Based on URL Level Check 2,200,275
https://www.google.com/history/optout?utm_source=pp&hl=en,Privacy Policy – Privacy & Terms – Google,https://accounts.google.com/TOS?loc=IN&hl=en&privacy=true,2973,611,Checked: Based on URL Level Check 2,200,1102
https://support.google.com/legal/answer/3110420?visit_id=637939486089565735-343938859&hl=en,Privacy Policy – Privacy & Terms – Google,https://accounts.google.com/TOS?loc=IN&hl=en&privacy=true,2973,611,Checked: Based on URL Level Check 2,200,586
https://transparencyreport.google.com/user-data/overview?hl=en,Privacy Policy – Privacy & Terms – Google,https://accounts.google.com/TOS?loc=IN&hl=en&privacy=true,2973,611,Checked: Based on URL Level Check 2,200,1654
https://www.google.com/landing/2step/?utm_source=pp&hl=en,Privacy Policy – Privacy & Terms – Google,https://accounts.google.com/TOS?loc=IN&hl=en&privacy=true,2973,611,Checked: Based on URL Level Check 2,200,449
https://support.google.com/photos/answer/6128858?hl=en,Privacy Policy – Privacy & Terms – Google,https://accounts.google.com/TOS?loc=IN&hl=en&privacy=true,2973,611,Checked: Based on URL Level Check 2,200,319
https://support.google.com/docs/answer/6023494?hl=en,Privacy Policy – Privacy & Terms – Google,https://accounts.google.com/TOS?loc=IN&hl=en&privacy=true,2973,611,Checked: Based on URL Level Check 2,200,270
https://support.google.com/accounts/answer/465?authuser=0&hl=en#auto-delete,Privacy Policy – Privacy & Terms – Google,https://accounts.google.com/TOS?loc=IN&hl=en&privacy=true,2973,611,Checked: Based on URL Level Check 2,200,283
https://families.google.com/familylink/privacy/child-disclosure/?hl=en,Privacy Policy – Privacy & Terms – Google,https://accounts.google.com/TOS?loc=IN&hl=en&privacy=true,2973,611,Checked: Based on URL Level Check 2,200,165
https://assistant.google.com/privacy-notice-childrens-features/?hl=en,Privacy Policy – Privacy & Terms – Google,https://accounts.google.com/TOS?loc=IN&hl=en&privacy=true,2973,611,Checked: Based on URL Level Check 2,200,172
https://cloud.google.com/terms/cloud-privacy-notice?hl=en,Privacy Policy – Privacy & Terms – Google,https://accounts.google.com/TOS?loc=IN&hl=en&privacy=true,2973,611,Checked: Based on URL Level Check 2,200,842
https://www.google.com/policies/privacy/teens/?hl=en,Privacy Policy – Privacy & Terms – Google,https://accounts.google.com/TOS?loc=IN&hl=en&privacy=true,2973,611,Checked: Based on URL Level Check 2,200,211
https://privacy.google.com/businesses/affiliates?hl=en,Privacy Policy – Privacy & Terms – Google,https://accounts.google.com/TOS?loc=IN&hl=en&privacy=true,2973,611,Checked: Based on URL Level Check 2,200,393
https://support.google.com/android/answer/10546414?hl=en,Privacy Policy – Privacy & Terms – Google,https://accounts.google.com/TOS?loc=IN&hl=en&privacy=true,2973,611,Checked: Based on URL Level Check 2,200,259
